DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2004,38464.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2005,40376.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2006,42374.7,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2007,44379.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2008,45406.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2009,44931.2,b,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2010,47814.8,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2011,49852.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2012,52624.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2013,53468.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2014,54200.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2015,55113.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2016,57789.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2017,59555.2,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2018,61619.1,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Belgium,2019,63654.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2000,229381.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2001,233418.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2002,235394.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2003,240978.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2004,239835.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2005,242581.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2006,252846.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2007,278208.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2008,283315.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2009,286922.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2010,287084.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2011,309270.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2012,315623.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2013,325968.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2014,337783.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2015,349818.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2016,359160.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2017,371778.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2018,381400.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Germany,2019,394384.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2000,18680.9,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2001,19383.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2002,21001.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2003,21680.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2004,22444.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2005,23632.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2006,26688.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2007,29241.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2008,30413.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2009,27826.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2010,28454.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2011,27971.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2012,27203.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2013,26615.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2014,28728.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2015,29137.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2016,30899.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2017,31221.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2018,31911.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Greece,2019,32270.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Spain,2000,72939.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Spain,2001,76726.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Spain,2002,82033.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Spain,2003,89950.0,,
ESTAT:GOV_10A_MAIN(1.0),22/04/26 11:00:00,Annual,Million euro,General government,"Taxes on production and imports, revenue",Spain,2004,100460.0,,
