DATAFLOW,LAST UPDATE,freq,unit,sex,age,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2000,4.7,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2001,4.0,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2002,4.9,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2003,4.8,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2004,5.8,b,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2005,5.6,b,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2006,5.3,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2007,4.9,b,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2008,4.1,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2009,5.3,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2010,4.8,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2011,4.6,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2012,4.9,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2013,5.4,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2014,5.6,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2015,5.7,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2016,6.0,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2017,5.5,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2018,4.9,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Austria,2019,4.5,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2000,6.6,,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2001,6.2,b,
ESTAT:LFSA_URGAN(1.0),30/06/26 11:00:00,Annual,Percentage,Total,From 15 to 74 years,Total,Belgium,2002,6.9,,
